priority_rank,school_id,school_name,region,priority_score,priority_category,risk_score,risk_level,regional_risk_score,regional_risk_level,problem_detected,recommended_intervention,intervention_priority,expected_improvement_range,assumption_basis,weak_subject_count,weak_subjects,weakest_subject,weakest_subject_gpa,weakest_subject_pass_rate,pass_rate_decline_score,subject_failure_score,trend_instability_score,data_quality,data_origin,scenario_origin
1,S4104,LORD BADEN POWELL MEMORIAL SECONDARY SCHOOL,PWANI,100.0,Critical,90.139,High,17.439754644711357,Safe,16 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",16,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, FINE ART, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICAL EDUCATION, PHYSICS, THEATRE ART",BASIC MATHEMATICS,,0.0,100.0,100.0,67.13,Limited trend history,observed-derived,assumption-based
2,S0747,MLALO SECONDARY SCHOOL,TANGA,94.95999999999998,Critical,96.9657222384401,High,20.294586897484997,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI",BASIC MATHEMATICS,,0.0,100.0,100.0,89.88574079480031,Complete,observed-derived,assumption-based
3,S1040,DOLE SECONDARY SCHOOL,MJINI MAGHARIBI,94.95999999999998,Critical,85.0,High,28.296233037624745,Safe,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI",BASIC MATHEMATICS,,0.0,100.0,100.0,50.0,Limited trend history,observed-derived,assumption-based
4,S5721,MAGS SECONDARY SCHOOL,GEITA,94.95999999999998,Critical,92.02851164899084,High,16.926172579617003,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,73.42837216330281,Complete,observed-derived,assumption-based
5,S5780,JEHOVAH SHAMMAH SECONDARY SCHOOL,SHINYANGA,94.95999999999998,Critical,100.0,High,13.63569660813777,Safe,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,100.0,Complete,observed-derived,assumption-based
6,S6346,KENASKY SECONDARY SCHOOL,IRINGA,94.95999999999998,Critical,85.0,High,12.684959143067804,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,50.0,Complete,observed-derived,assumption-based
7,S7047,ANTASS SECONDARY SCHOOL,KIGOMA,94.95999999999998,Critical,85.0,High,15.6157062435702,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,50.0,Limited trend history,observed-derived,assumption-based
8,S1688,BAHARI BEACH SECONDARY SCHOOL,DAR ES SALAAM,92.99599999999869,Critical,90.77352024331776,High,20.104661333212597,Safe,12 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",12,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,69.24506747772588,Complete,observed-derived,assumption-based
9,S0749,KAMSAMBA SECONDARY SCHOOL,SONGWE,92.59779999999958,Critical,95.2187282568576,High,14.638078468609525,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH",BASIC MATHEMATICS,,0.0,100.0,100.0,84.06242752285868,Complete,observed-derived,assumption-based
10,S5909,MARIA SECONDARY SCHOOL,KAGERA,92.3540000000033,Critical,88.0885,High,12.691611547450492,Safe,10 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Critical,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",10,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,,0.0,100.0,100.0,60.29499999999999,Limited trend history,observed-derived,assumption-based
