priority_rank,school_id,school_name,region,latest_year,latest_gpa,latest_pass_rate,latest_sat,size_band,severity_score,trend_decline_score,recoverability_score,priority_score,priority_category,gpa_slope,pass_rate_slope,similar_school_count,evidence_years,first_year,data_quality
1,S4104,LORD BADEN POWELL MEMORIAL SECONDARY SCHOOL,PWANI,2018,,0.0,90.0,Large,100.0,100.0,100.0,100.0,Critical,0.3425999999997217,-44.277108433730355,7,3,2016,Limited trend history
2,S0747,MLALO SECONDARY SCHOOL,TANGA,2025,,0.0,3.0,Small,100.0,100.0,74.79999999999993,94.95999999999998,Critical,0.3187499999999508,-30.00000000000196,71,10,2016,Complete
3,S1040,DOLE SECONDARY SCHOOL,MJINI MAGHARIBI,2017,,0.0,6.0,Small,100.0,100.0,74.79999999999993,94.95999999999998,Critical,,-27.272727272704998,71,2,2016,Limited trend history
4,S5721,MAGS SECONDARY SCHOOL,GEITA,2025,,0.0,6.0,Small,100.0,100.0,74.79999999999993,94.95999999999998,Critical,0.2826999999999773,-30.00000000000196,71,4,2022,Complete
5,S5780,JEHOVAH SHAMMAH SECONDARY SCHOOL,SHINYANGA,2024,,0.0,5.0,Small,100.0,100.0,74.79999999999993,94.95999999999998,Critical,0.42774000000010237,-31.666666666662536,71,6,2019,Complete
6,S6346,KENASKY SECONDARY SCHOOL,IRINGA,2025,,0.0,6.0,Small,100.0,100.0,74.79999999999993,94.95999999999998,Critical,,-29.999999999999304,71,4,2022,Complete
7,S7047,ANTASS SECONDARY SCHOOL,KIGOMA,2025,,0.0,12.0,Small,100.0,100.0,74.79999999999993,94.95999999999998,Critical,,-93.10344827582018,71,2,2024,Limited trend history
8,S1688,BAHARI BEACH SECONDARY SCHOOL,DAR ES SALAAM,2020,,0.0,49.0,Medium,100.0,93.31999999999562,75.0,92.99599999999869,Critical,0.2165999999999781,-25.14285714285953,6,4,2017,Complete
9,S0749,KAMSAMBA SECONDARY SCHOOL,SONGWE,2025,,0.0,7.0,Small,100.0,92.12599999999861,74.79999999999993,92.59779999999958,Critical,0.21062999999999305,-13.000000000002355,71,5,2021,Complete
10,S5909,MARIA SECONDARY SCHOOL,KAGERA,2025,,0.0,43.0,Medium,100.0,91.180000000011,75.0,92.3540000000033,Critical,0.20590000000005507,-49.9999999999942,6,3,2023,Limited trend history
11,S1280,USANGU SECONDARY SCHOOL,MBEYA,2025,,0.0,33.0,Small,100.0,90.19799999999618,74.79999999999993,92.01939999999885,Critical,0.20098999999998093,-30.00000000000196,71,10,2016,Complete
12,S0265,CORNELIUS SECONDARY SCHOOL,DAR ES SALAAM,2022,,0.0,19.0,Small,100.0,83.81400000000471,74.79999999999993,90.10420000000138,Critical,0.1690700000000235,-30.769230769216417,71,5,2018,Complete
13,S2455,ELLY'S SECONDARY SCHOOL,MARA,2023,4.4762,7.6923076923076925,26.0,Small,89.60634615384616,100.0,74.79999999999993,89.76317307692307,Critical,0.3927500000000843,-20.43740573152906,71,5,2019,Complete
14,S2211,MWILAMVYA SECONDARY SCHOOL,KIGOMA,2025,,0.0,85.0,Large,100.0,53.69399999999871,100.0,86.10819999999961,Critical,0.018469999999993537,-30.00000000000196,7,10,2016,Complete
15,S1767,MTENDE SECONDARY SCHOOL,KUSINI UNGUJA,2017,4.7631,29.72972972972973,37.0,Small,82.17388513513512,100.0,74.79999999999993,86.04694256756756,Critical,0.27219999999977823,-36.936936936906775,71,2,2016,Limited trend history
16,S4864,KERITH BROOK SECONDARY SCHOOL,NJOMBE,2025,,0.0,15.0,Small,100.0,67.78599999999989,74.79999999999993,85.29579999999996,Critical,0.08892999999999943,-28.84615384615585,71,10,2016,Complete
17,S5025,KEIFO SECONDARY SCHOOL,MBEYA,2025,,0.0,37.0,Small,100.0,66.2339999999995,74.79999999999993,84.83019999999982,Critical,0.08116999999999748,-20.473389355744015,71,10,2016,Complete
18,S4186,LYCEUM SECONDARY SCHOOL,DAR ES SALAAM,2025,4.5625,7.142857142857142,14.0,Small,90.95982142857143,80.95238095238105,74.79999999999993,84.72562500000001,Critical,0.3423800000000206,-6.190476190476211,71,9,2016,Complete
19,S3724,MUHANGA SECONDARY SCHOOL,DAR ES SALAAM,2023,,0.0,9.0,Small,100.0,64.21400000000027,74.79999999999993,84.22420000000005,Critical,0.07107000000000134,-25.578488705430647,71,8,2016,Complete
20,S5698,HILL LAND SECONDARY SCHOOL,MBEYA,2025,,0.0,21.0,Small,100.0,63.52000000000044,74.79999999999993,84.0160000000001,Critical,0.06760000000000219,-29.47368421052815,71,5,2021,Complete
21,S6157,ADAM K. MALIMA SECONDARY SCHOOL,MARA,2025,4.4642,51.0,100.0,Large,67.80250000000001,100.0,100.0,83.90125,Critical,0.5085999999997703,-38.99999999998246,7,2,2024,Limited trend history
22,S4011,ST AGATHON SECONDARY SCHOOL,RUVUMA,2019,,0.0,20.0,Small,100.0,60.28999999999867,74.79999999999993,83.0469999999996,Critical,0.05144999999999335,-24.131701631700377,71,4,2016,Complete
23,S2991,GUDUWI SECONDARY SCHOOL,SIMIYU,2025,4.3687,54.166666666666664,72.0,Large,65.02541666666666,100.0,100.0,82.51270833333334,Critical,0.2509100000000092,-10.525808936826692,7,10,2016,Complete
24,S2611,NAMANGALE SECONDARY SCHOOL,LINDI,2025,4.502,59.183673469387756,49.0,Medium,64.18316326530612,100.0,100.0,82.09158163265306,Critical,0.2532400000000133,-12.897071872227945,651,10,2016,Complete
25,S7303,SEREGETE SECONDARY SCHOOL,MOROGORO,2025,4.5333,60.0,5.0,Small,64.16624999999999,100.0,100.0,82.083125,Critical,0.374199999999831,-14.999999999993246,483,2,2024,Limited trend history
26,S5000,WAMA-NAKAYAMA SECONDARY SCHOOL,PWANI,2025,,0.0,35.0,Small,100.0,56.15199999999883,74.79999999999993,81.80559999999963,Critical,0.030759999999994143,-30.00000000000196,71,10,2016,Complete
27,S1796,DR. DIDAS MASABURI SECONDARY SCHOOL,DAR ES SALAAM,2019,4.2115,18.181818181818183,22.0,Small,81.0528409090909,84.81199999999833,74.79999999999993,80.93002045454494,Critical,0.17405999999999164,-28.854738491869583,71,4,2016,Complete
28,S0701,KARANGAI SECONDARY SCHOOL,ARUSHA,2025,,0.0,11.0,Small,100.0,51.24461538461559,74.79999999999993,80.33338461538466,Critical,0.006223076923077974,-16.09523809523772,71,10,2016,Complete
29,S4883,NJELEKELA ISLAMIC SEMINARY,KIGOMA,2017,4.65,50.0,4.0,Small,70.625,100.0,74.79999999999993,80.27249999999998,Critical,0.9352999999992375,-44.999999999963244,71,2,2016,Limited trend history
30,S0307,DODOMA CENTRAL SECONDARY SCHOOL,DODOMA,2025,,0.0,19.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.08350571428565425,-17.917617866005504,71,10,2016,Complete
31,S0375,JUMUIYA SECONDARY SCHOOL,TANGA,2025,,0.0,38.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.17007999999998086,-26.775777414077325,71,10,2016,Complete
32,S0930,NGATEU SECONDARY SCHOOL,ARUSHA,2025,,0.0,25.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.08440999999997449,-16.770334928230728,71,10,2016,Complete
33,S2365,ANDREW FAZA MEMORIAL SECONDARY SCHOOL,DAR ES SALAAM,2022,,0.0,5.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.016799999999995097,-20.60830687486873,71,4,2019,Complete
34,S3524,ELITE SECONDARY SCHOOL,ARUSHA,2023,,0.0,32.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.1663600000000639,-27.500000000007258,71,8,2016,Complete
35,S4408,KASSA CHARITY SECONDARY SCHOOL,MWANZA,2023,,0.0,11.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.279859999999904,-28.867924528309747,71,8,2016,Complete
36,S4633,SINAI SECONDARY SCHOOL,MBEYA,2025,,0.0,15.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.25626999999990396,-17.193277310924472,71,8,2016,Complete
37,S5277,HADY SECONDARY SCHOOL,ARUSHA,2025,,0.0,18.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.12408999999997512,-30.00000000000196,71,10,2016,Complete
38,S5299,GRACIOUS SECONDARY SCHOOL,KAGERA,2025,,0.0,4.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.026230000000009825,-29.999999999999304,71,10,2016,Complete
39,S5367,UJIJI ISLAMIC SECONDARY SCHOOL,KIGOMA,2025,,0.0,2.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.1894599999999517,-17.142857142859405,71,10,2016,Complete
40,S6318,SULHIYA ISLAMIC SECONDARY SCHOOL,KASKAZINI UNGUJA,2025,,0.0,1.0,Small,100.0,50.0,74.79999999999993,79.95999999999998,High,-0.21064999999997103,-26.527777777779605,71,4,2022,Complete
41,S3501,HOPE SECONDARY SCHOOL,IRINGA,2018,4.5,50.0,2.0,Small,68.75,100.0,74.79999999999993,79.33499999999998,High,0.30509999999996446,-14.99999999999774,71,3,2016,Limited trend history
42,S5162,UNIQUE LEARNING SECONDARY SCHOOL,KASKAZINI UNGUJA,2024,,0.0,16.0,Small,100.0,47.532894736837065,74.79999999999993,79.2198684210511,High,-0.19374000000005215,-9.506578947367412,71,9,2016,Complete
43,S6964,MAHARU SECONDARY SCHOOL,SINGIDA,2025,4.4059,68.42105263157895,57.0,Medium,58.363223684210524,100.0,100.0,79.18161184210527,High,0.3679999999998348,-28.721804511265265,651,2,2024,Limited trend history
