priority_rank,region,priority_score,priority_category,school_count,critical_school_count,high_priority_school_count,candidate_count,average_severity_score,average_trend_decline_score,average_recoverability_score
1,KASKAZINI UNGUJA,42.4862375172773,Medium,35,0,3,2231.0,42.44000503461208,6.5633630412091,94.90622032534921
2,MJINI MAGHARIBI,42.117021400121544,Medium,133,1,7,11473.0,33.36940199037498,8.770880977531595,90.84500446985116
3,KUSINI PEMBA,41.68708233889699,Medium,50,0,2,3268.0,42.660271659351075,5.772838681577581,94.8342469170273
4,DAR ES SALAAM,41.39912834757635,Medium,377,5,20,57239.0,34.989647410938375,8.861484876717233,93.54890726277449
5,MARA,41.13049068852649,Medium,271,2,21,26263.0,36.45124782104416,10.42285277338704,96.6876632668323
6,KASKAZINI PEMBA,40.71176560755587,Medium,48,0,2,3593.0,42.108799032438064,3.6771171391018775,95.89196740192655
7,MOROGORO,40.258087936594606,Medium,287,1,12,30596.0,36.5931839125686,7.8179574220532695,96.68819477690798
8,MTWARA,39.92879678275717,Low,173,0,10,12924.0,35.52661690187886,11.17805310099133,96.691525466585
9,LINDI,39.56500659343562,Low,134,1,6,8944.0,35.11789946278545,9.697646880609765,94.13785029202721
10,KATAVI,39.08276492574299,Low,61,0,0,5364.0,35.27899411835566,4.094638632601273,95.40811578016658
11,KUSINI UNGUJA,38.90965211302634,Low,39,1,1,1993.0,36.49735795478559,6.969948888076661,92.48360484970847
12,DODOMA,38.748359692194974,Low,246,0,4,20729.0,35.46513836527611,5.7357900801055575,95.85598040895945
13,SINGIDA,38.67065829271814,Low,189,0,2,14673.0,34.737021906475505,5.670372471446673,95.97274882362599
14,KIGOMA,38.607585358777946,Low,230,3,7,19939.0,34.46481725836715,6.383669619149984,95.69637930022843
15,TANGA,38.503792885675075,Low,305,1,7,23975.0,36.26012722423653,5.13167947423902,96.21839600741211
16,RUKWA,38.36414928785411,Low,98,0,2,9369.0,32.47523534810533,6.918748438105237,94.78040972077787
17,RUVUMA,38.32561175918986,Low,217,1,9,13528.0,34.38499793581176,9.016310122552753,93.95116980866644
18,PWANI,38.07316782379861,Low,229,2,6,25875.0,32.67659191017006,5.073641227520839,95.44639873634951
19,IRINGA,37.94705353438631,Low,196,1,5,16856.0,31.86414960591947,8.966066930968216,94.77197028190027
20,SONGWE,37.88214110456588,Low,141,1,1,9851.0,33.18064550127903,5.707592414212628,93.2135374885848
21,SHINYANGA,37.77957580287875,Low,174,1,5,15642.0,32.75383794023905,7.5192657100152696,96.07575947704866
22,SIMIYU,37.20402440726985,Low,173,1,2,13832.0,31.59233377891199,6.731001053325059,94.33327159990714
23,NJOMBE,36.839236737549854,Low,144,1,3,10601.0,31.059990968782397,5.3258666107912145,92.58802530105842
24,KAGERA,36.74299255539006,Low,294,1,4,30005.0,30.869429297615486,4.554221758000407,96.51535878346871
25,TABORA,36.504378202429365,Low,218,0,2,15907.0,31.996333977680266,5.260392659614612,93.35205530800695
26,GEITA,36.24290042612521,Low,191,1,2,20879.0,31.828040171626608,2.787129369245559,96.32942355263218
27,MWANZA,35.8465442239716,Low,338,0,6,41610.0,28.968046511271236,4.611484180163777,94.90713853599516
28,ARUSHA,35.66666940729364,Low,283,1,7,30465.0,29.69434756707349,7.411997233763549,93.56705393029586
29,MBEYA,35.63903439840227,Low,272,3,8,25461.0,31.421124685475547,4.724271565041015,95.12027663606278
30,MANYARA,35.40152859490686,Low,174,0,0,14225.0,29.851673854777413,5.269020262245883,95.24073530269162
31,KILIMANJARO,35.1458114831076,Low,355,0,0,26020.0,29.423474638445217,4.456378856790062,93.6190019263049
