risk_rank,region,latest_year,latest_gpa,latest_pass_rate,candidate_count,pass_rate_decline_score,subject_failure_score,trend_instability_score,risk_score,risk_level,pass_rate_slope,subject_failure_rate,evidence_years,data_quality
1,KASKAZINI UNGUJA,2025,3.7568774193548387,91.32751937984496,2064.0,0.0,40.36827915967242,66.23475897979837,31.980911441841236,Moderate,6.776219867548675,40.36827915967242,10,Complete
2,KASKAZINI PEMBA,2025,3.819095744680851,89.77715877437326,3590.0,0.0,38.92828263979599,66.04091025079595,31.490757867177578,Moderate,7.06035427434197,38.92828263979599,10,Complete
3,KUSINI UNGUJA,2025,3.522414705882353,94.33551198257081,1836.0,0.0,33.88962421591759,65.39226555318773,29.784566930731593,Safe,3.4223278579899272,33.88962421591759,10,Complete
4,KUSINI PEMBA,2025,3.8328653061224487,86.54970760233918,3249.0,0.0,41.45412500850166,57.70723176476456,29.748407031979866,Safe,6.004314606603005,41.45412500850166,10,Complete
5,MJINI MAGHARIBI,2025,3.3274008196721314,90.64063101192767,10396.0,0.0,35.76117536730227,58.55960142478021,28.296233037624745,Safe,4.255316460384249,35.76117536730227,10,Complete
6,TANGA,2025,3.6188484848484848,94.35832808233565,23805.0,0.0,32.28028868301173,35.36833430860492,20.294586897484997,Safe,3.5956010643086853,32.28028868301173,10,Complete
7,DAR ES SALAAM,2025,3.254610606060606,89.36730314996123,55461.0,0.0,37.67588017261752,29.33965760475781,20.104661333212597,Safe,3.466186965257717,37.67588017261752,10,Complete
8,PWANI,2025,3.336059821428571,93.46792423415698,25658.0,0.0,31.998652508516713,26.13386297385448,17.439754644711357,Safe,3.222281406123147,31.998652508516713,10,Complete
9,GEITA,2025,3.3557057894736846,96.2258728866325,20879.0,0.0,22.63067967912889,33.78989558626112,16.926172579617003,Safe,3.7169388285537543,22.63067967912889,10,Complete
10,SINGIDA,2025,3.5712823529411764,94.8851203501094,14624.0,0.0,27.89430998420626,25.47135117889428,16.00969834893016,Safe,3.042694415262512,27.89430998420626,10,Complete
11,MOROGORO,2025,3.585000706713781,91.80096960167715,30528.0,0.0,32.62690776376907,20.559288328286534,15.95585882761668,Safe,3.1757002451260106,32.62690776376907,10,Complete
12,KIGOMA,2025,3.4582365740740744,94.11009551196467,19474.0,0.0,27.02336376295837,25.028990382275634,15.6157062435702,Safe,3.21277794880461,27.02336376295837,10,Complete
13,DODOMA,2025,3.570724894514768,94.30117486471994,20513.0,0.0,30.22732053804556,21.22607328110874,15.43601814574629,Safe,2.2682166579641954,30.22732053804556,10,Complete
14,MBEYA,2025,3.2546373076923074,96.62373687339013,25235.0,0.0,21.190557580367937,29.575867281922733,15.2299274586872,Safe,2.2224878838287427,21.190557580367937,10,Complete
15,MTWARA,2025,3.6819905325443787,96.38630768008896,12591.0,0.0,30.7465515425924,19.71384515975991,15.138119010705694,Safe,0.891105895141007,30.7465515425924,10,Complete
16,MARA,2025,3.572251351351351,91.86384231111799,25823.0,0.0,30.32632821265001,18.767597573988752,14.728177735991629,Safe,1.8875376567380557,30.32632821265001,10,Complete
17,SONGWE,2025,3.4729029411764705,95.97855227882037,9698.0,0.0,24.686059450007946,24.107535445357136,14.638078468609525,Safe,2.5599578613777734,24.686059450007946,10,Complete
18,KATAVI,2025,3.61003,93.87373926036608,5354.0,0.0,29.196474351148765,19.268481515602367,14.539486760025339,Safe,1.4885994209551785,29.196474351148765,10,Complete
19,TABORA,2025,3.4352192660550456,97.27792795624568,15907.0,0.0,21.445243577266652,24.77376384935601,13.865702227986798,Safe,1.9318010780525325,21.445243577266652,10,Complete
20,RUKWA,2025,3.440253608247423,95.22435897435896,9360.0,0.0,26.53692251727901,18.924147099167673,13.638320884934004,Safe,1.385024060379155,26.53692251727901,10,Complete
21,SHINYANGA,2025,3.4074494117647056,95.14675592173018,15536.0,0.0,22.316133329104687,23.136188698021215,13.63569660813777,Safe,2.0341043641381424,22.316133329104687,10,Complete
22,RUVUMA,2025,3.512254716981132,95.90831031135669,13393.0,0.0,26.04210182174836,17.821552067729076,13.15909616684323,Safe,2.0875012752407414,26.04210182174836,10,Complete
23,LINDI,2025,3.65964328358209,96.57871198568873,8944.0,0.0,30.45265763309142,12.35394068958221,12.84197949680209,Safe,0.44250861795957325,30.45265763309142,10,Complete
24,KILIMANJARO,2025,3.1991504398826978,97.07858147164505,25604.0,0.0,18.63150661556837,24.058702700581577,12.807062794844985,Safe,1.9507162825685536,18.63150661556837,10,Complete
25,MWANZA,2025,3.160662382445141,97.7788061082832,41059.0,0.0,17.987411913509604,24.555441737264864,12.76285609523234,Safe,2.2213426291338902,17.987411913509604,10,Complete
26,KAGERA,2025,3.3084913494809687,96.96574770258981,29925.0,0.0,20.711474023227822,21.593897801607156,12.691611547450492,Safe,2.218905603435976,20.711474023227822,10,Complete
27,IRINGA,2025,3.31065291005291,94.93436754176611,16760.0,0.0,26.39435206526244,15.88884507829691,12.684959143067804,Safe,1.4072164703499983,26.39435206526244,10,Complete
28,NJOMBE,2025,3.2961407142857144,95.94414893617021,10528.0,0.0,24.125094840667686,14.986982329526988,11.733623151058401,Safe,0.8837664223980142,24.125094840667686,10,Complete
29,ARUSHA,2025,3.111812015503876,97.75182873632642,29802.0,0.0,17.80650575131216,16.018254097722284,10.147427954710333,Safe,1.3239191816225035,17.80650575131216,10,Complete
30,MANYARA,2025,3.3063040462427744,98.56297548605241,14196.0,0.0,15.389895202062476,16.751064557425693,9.64228792784645,Safe,1.2782615459171427,15.389895202062476,10,Complete
31,SIMIYU,2025,3.4147643274853805,97.66158315177923,13770.0,0.0,18.555112400290056,10.92768640988056,8.844839643051184,Safe,1.1362127308939887,18.555112400290056,10,Complete
