school_id,school_name,region,latest_year,latest_gpa,latest_pass_rate,latest_sat,pass_rate_decline_score,subject_failure_score,trend_instability_score,risk_score,risk_level,pass_rate_slope,subject_failure_rate,subject_count,evidence_years,data_quality
S3524,ELITE SECONDARY SCHOOL,ARUSHA,2023,,0.0,32.0,100.0,100.0,100.0,100.0,High,-27.500000000007258,100.0,13,8,Complete
S5780,JEHOVAH SHAMMAH SECONDARY SCHOOL,SHINYANGA,2024,,0.0,5.0,100.0,100.0,100.0,100.0,High,-31.666666666662536,100.0,11,6,Complete
S0307,DODOMA CENTRAL SECONDARY SCHOOL,DODOMA,2025,,0.0,19.0,100.0,100.0,96.50170773447167,98.9505123203415,High,-17.917617866005504,100.0,9,10,Complete
S5367,UJIJI ISLAMIC SECONDARY SCHOOL,KIGOMA,2025,,0.0,2.0,100.0,100.0,90.49514970956398,97.1485449128692,High,-17.142857142859405,100.0,10,10,Complete
S0747,MLALO SECONDARY SCHOOL,TANGA,2025,,0.0,3.0,100.0,100.0,89.88574079480031,96.9657222384401,High,-30.00000000000196,100.0,8,10,Complete
S2455,ELLY'S SECONDARY SCHOOL,MARA,2023,4.4762,7.6923076923076925,26.0,100.0,96.29629629629629,91.45858058351735,96.32646306394409,High,-20.43740573152906,96.29629629629629,10,5,Complete
S0823,THAQAAFA SECONDARY SCHOOL,MWANZA,2022,2.1313,13.580246913580247,162.0,100.0,86.25356125356126,99.18708098677945,95.6321926721022,High,-27.000432459135514,86.25356125356126,12,7,Complete
S5719,MANTANJI SECONDARY SCHOOL,MBEYA,2025,2.2237,11.11111111111111,18.0,100.0,88.81987577639751,95.54470050401034,95.30937288412235,High,-26.71957671957846,88.81987577639751,10,6,Complete
S4633,SINAI SECONDARY SCHOOL,MBEYA,2025,,0.0,15.0,100.0,100.0,84.357127626593,95.30713828797789,High,-17.193277310924472,100.0,11,8,Complete
S0749,KAMSAMBA SECONDARY SCHOOL,SONGWE,2025,,0.0,7.0,100.0,100.0,84.06242752285868,95.2187282568576,High,-13.000000000002355,100.0,8,5,Complete
S4408,KASSA CHARITY SECONDARY SCHOOL,MWANZA,2023,,0.0,11.0,100.0,100.0,81.3383160045335,94.40149480136004,High,-28.867924528309747,100.0,10,8,Complete
S4864,KERITH BROOK SECONDARY SCHOOL,NJOMBE,2025,,0.0,15.0,100.0,100.0,80.874456574165,94.2623369722495,High,-28.84615384615585,100.0,10,10,Complete
S5231,MESHPEN SECONDARY SCHOOL,MARA,2023,3.4444,11.11111111111111,9.0,100.0,91.02564102564102,89.40674521893428,94.12971587337259,High,-17.222222222226314,91.02564102564102,9,8,Complete
S5025,KEIFO SECONDARY SCHOOL,MBEYA,2025,,0.0,37.0,100.0,100.0,77.68494931817646,93.30548479545294,High,-20.473389355744015,100.0,10,10,Complete
S5253,TWIBHOKI SECONDARY SCHOOL,MARA,2022,1.2222,1.4925373134328357,67.0,100.0,98.50746268656717,78.44941503792302,93.08706331734706,High,-29.552238805956197,98.50746268656717,9,7,Complete
S5378,AL-HUDA ISLAMIC SECONDARY SCHOOL,TANGA,2025,2.1768,17.91044776119403,67.0,100.0,81.54362416107382,95.381475075189,93.07752977087884,High,-24.049942594720353,81.54362416107382,10,10,Complete
S4883,NJELEKELA ISLAMIC SEMINARY,KIGOMA,2017,4.65,50.0,4.0,100.0,80.0,96.76500000000001,93.0295,High,-44.999999999963244,80.0,10,2,Limited trend history
S1280,USANGU SECONDARY SCHOOL,MBEYA,2025,,0.0,33.0,100.0,100.0,76.0729048774777,92.82187146324331,High,-30.00000000000196,100.0,12,10,Complete
S5299,GRACIOUS SECONDARY SCHOOL,KAGERA,2025,,0.0,4.0,100.0,100.0,75.735,92.7205,High,-29.999999999999304,100.0,9,10,Complete
S5162,UNIQUE LEARNING SECONDARY SCHOOL,KASKAZINI UNGUJA,2024,,0.0,16.0,95.06578947367413,100.0,81.08399708853416,92.3515149160299,High,-9.506578947367412,100.0,11,9,Complete
S6318,SULHIYA ISLAMIC SECONDARY SCHOOL,KASKAZINI UNGUJA,2025,,0.0,1.0,100.0,100.0,74.06495700298582,92.21948710089575,High,-26.527777777779605,100.0,10,4,Complete
S0265,CORNELIUS SECONDARY SCHOOL,DAR ES SALAAM,2022,,0.0,19.0,100.0,100.0,73.69826720986157,92.10948016295848,High,-30.769230769216417,100.0,12,5,Complete
S5721,MAGS SECONDARY SCHOOL,GEITA,2025,,0.0,6.0,100.0,100.0,73.42837216330281,92.02851164899084,High,-30.00000000000196,100.0,10,4,Complete
S0930,NGATEU SECONDARY SCHOOL,ARUSHA,2025,,0.0,25.0,100.0,100.0,72.8447766185183,91.85343298555549,High,-16.770334928230728,100.0,11,10,Complete
S5698,HILL LAND SECONDARY SCHOOL,MBEYA,2025,,0.0,21.0,100.0,100.0,71.55735141430877,91.46720542429263,High,-29.47368421052815,100.0,10,5,Complete
S1465,MALATI SECONDARY SCHOOL,MOROGORO,2025,2.8047,33.33333333333333,15.0,100.0,69.69696969696969,100.0,90.9090909090909,High,-17.61069340016815,69.69696969696969,10,10,Complete
S1688,BAHARI BEACH SECONDARY SCHOOL,DAR ES SALAAM,2020,,0.0,49.0,100.0,100.0,69.24506747772588,90.77352024331776,High,-25.14285714285953,100.0,12,4,Complete
S0375,JUMUIYA SECONDARY SCHOOL,TANGA,2025,,0.0,38.0,100.0,100.0,69.19086761978207,90.75726028593462,High,-26.775777414077325,100.0,11,10,Complete
S5277,HADY SECONDARY SCHOOL,ARUSHA,2025,,0.0,18.0,100.0,100.0,68.29229123838783,90.48768737151634,High,-30.00000000000196,100.0,12,10,Complete
S1820,HILL CREST SECONDARY SCHOOL,MWANZA,2017,4.5753,58.82352941176471,17.0,100.0,75.3731343283582,92.45000000000002,90.34694029850746,High,-36.04826546000072,75.3731343283582,9,2,Limited trend history
S4104,LORD BADEN POWELL MEMORIAL SECONDARY SCHOOL,PWANI,2018,,0.0,90.0,100.0,100.0,67.13,90.139,High,-44.277108433730355,100.0,17,3,Limited trend history
S5000,WAMA-NAKAYAMA SECONDARY SCHOOL,PWANI,2025,,0.0,35.0,100.0,100.0,65.94193996977783,89.78258199093335,High,-30.00000000000196,100.0,12,10,Complete
S3724,MUHANGA SECONDARY SCHOOL,DAR ES SALAAM,2023,,0.0,9.0,100.0,100.0,65.92581140005117,89.77774342001536,High,-25.578488705430647,100.0,9,8,Complete
S2211,MWILAMVYA SECONDARY SCHOOL,KIGOMA,2025,,0.0,85.0,100.0,100.0,64.10751639198057,89.23225491759416,High,-30.00000000000196,100.0,13,10,Complete
S5909,MARIA SECONDARY SCHOOL,KAGERA,2025,,0.0,43.0,100.0,100.0,60.29499999999999,88.0885,High,-49.9999999999942,100.0,10,3,Limited trend history
S1796,DR. DIDAS MASABURI SECONDARY SCHOOL,DAR ES SALAAM,2019,4.2115,18.181818181818183,22.0,100.0,88.77005347593582,70.11219406230956,87.6646742614736,High,-28.854738491869583,88.77005347593582,12,4,Complete
S2432,NEW HELLEN SECONDARY SCHOOL,MWANZA,2017,4.0,2.941176470588235,34.0,100.0,97.39776951672863,57.66,86.51733085501859,High,-83.26572008106793,97.39776951672863,9,2,Limited trend history
S2611,NAMANGALE SECONDARY SCHOOL,LINDI,2025,4.502,59.183673469387756,49.0,100.0,67.22689075630252,87.62964288961561,86.45696009377544,High,-12.897071872227945,67.22689075630252,9,10,Complete
S0701,KARANGAI SECONDARY SCHOOL,ARUSHA,2025,,0.0,11.0,100.0,100.0,54.74715587366676,86.42414676210004,High,-16.09523809523772,100.0,10,10,Complete
S4011,ST AGATHON SECONDARY SCHOOL,RUVUMA,2019,,0.0,20.0,100.0,100.0,54.25058688758257,86.27517606627477,High,-24.131701631700377,100.0,10,4,Complete
S5637,KIMANGA SECONDARY SCHOOL,DAR ES SALAAM,2025,4.1889,65.39379474940334,419.0,96.58087661989994,57.11180124223603,100.0,85.76589102063079,High,-9.658087661989994,57.11180124223603,10,5,Complete
S1767,MTENDE SECONDARY SCHOOL,KUSINI UNGUJA,2017,4.7631,29.72972972972973,37.0,100.0,88.50574712643679,63.609999999999985,85.63472413793103,High,-36.936936936906775,88.50574712643679,11,2,Limited trend history
S2365,ANDREW FAZA MEMORIAL SECONDARY SCHOOL,DAR ES SALAAM,2022,,0.0,5.0,100.0,100.0,51.89710891153413,85.56913267346025,High,-20.60830687486873,100.0,8,4,Complete
S7047,ANTASS SECONDARY SCHOOL,KIGOMA,2025,,0.0,12.0,100.0,100.0,50.0,85.0,High,-93.10344827582018,100.0,10,2,Limited trend history
S1040,DOLE SECONDARY SCHOOL,MJINI MAGHARIBI,2017,,0.0,6.0,100.0,100.0,50.0,85.0,High,-27.272727272704998,100.0,9,2,Limited trend history
S6346,KENASKY SECONDARY SCHOOL,IRINGA,2025,,0.0,6.0,100.0,100.0,50.0,85.0,High,-29.999999999999304,100.0,10,4,Complete
S3209,BUNDUKI SECONDARY SCHOOL,MOROGORO,2025,4.6278,42.30769230769231,26.0,100.0,79.79797979797979,66.81129310909782,83.98278187212328,High,-11.10379053649451,79.79797979797979,9,10,Complete
