year,region,gpa,model
2026,ARUSHA,3.0019089156825913,Baseline Linear Regression
2027,ARUSHA,2.901133387499986,Baseline Linear Regression
2026,DAR ES SALAAM,3.1843257537399543,Baseline Linear Regression
2027,DAR ES SALAAM,3.101546812909712,Baseline Linear Regression
2026,DODOMA,3.5023525026908877,Baseline Linear Regression
2027,DODOMA,3.426999867853323,Baseline Linear Regression
2026,GEITA,3.301265780284158,Baseline Linear Regression
2027,GEITA,3.218934970747173,Baseline Linear Regression
2026,IRINGA,3.2484386004013515,Baseline Linear Regression
2027,IRINGA,3.1756306589620893,Baseline Linear Regression
2026,KAGERA,3.2660478180466757,Baseline Linear Regression
2027,KAGERA,3.1917724050490612,Baseline Linear Regression
2026,KASKAZINI PEMBA,3.839258232629537,Baseline Linear Regression
2027,KASKAZINI PEMBA,3.8052703039412377,Baseline Linear Regression
2026,KASKAZINI UNGUJA,3.8116021383340057,Baseline Linear Regression
2027,KASKAZINI UNGUJA,3.778698317093395,Baseline Linear Regression
2026,KATAVI,3.5733183680801606,Baseline Linear Regression
2027,KATAVI,3.4986175230867564,Baseline Linear Regression
2026,KIGOMA,3.4125703357184363,Baseline Linear Regression
2027,KIGOMA,3.348467801361723,Baseline Linear Regression
2026,KILIMANJARO,3.122799199165201,Baseline Linear Regression
2027,KILIMANJARO,3.0394400811229954,Baseline Linear Regression
2026,KUSINI PEMBA,3.815481900163761,Baseline Linear Regression
2027,KUSINI PEMBA,3.7810585239774683,Baseline Linear Regression
2026,KUSINI UNGUJA,3.5379328282633153,Baseline Linear Regression
2027,KUSINI UNGUJA,3.4675411307818558,Baseline Linear Regression
2026,LINDI,3.5524030749027973,Baseline Linear Regression
2027,LINDI,3.4684419635149837,Baseline Linear Regression
2026,MANYARA,3.22454254488589,Baseline Linear Regression
2027,MANYARA,3.130220817548516,Baseline Linear Regression
2026,MARA,3.4892559991833854,Baseline Linear Regression
2027,MARA,3.4191481241424473,Baseline Linear Regression
2026,MBEYA,3.156459594760401,Baseline Linear Regression
2027,MBEYA,3.0579193340865056,Baseline Linear Regression
2026,MJINI MAGHARIBI,3.291737666233585,Baseline Linear Regression
2027,MJINI MAGHARIBI,3.2294590490976645,Baseline Linear Regression
2026,MOROGORO,3.520196339784386,Baseline Linear Regression
2027,MOROGORO,3.451049394686921,Baseline Linear Regression
2026,MTWARA,3.6325210053260006,Baseline Linear Regression
2027,MTWARA,3.5576918907675195,Baseline Linear Regression
2026,MWANZA,3.058106105781263,Baseline Linear Regression
2027,MWANZA,2.9655677990661196,Baseline Linear Regression
2026,NJOMBE,3.2335627270375635,Baseline Linear Regression
2027,NJOMBE,3.1591510347952116,Baseline Linear Regression
2026,PWANI,3.290970044480699,Baseline Linear Regression
2027,PWANI,3.219802618105151,Baseline Linear Regression
2026,RUKWA,3.362124043583466,Baseline Linear Regression
2027,RUKWA,3.2778706074585746,Baseline Linear Regression
2026,RUVUMA,3.4776758766203257,Baseline Linear Regression
2027,RUVUMA,3.4139120659843765,Baseline Linear Regression
2026,SHINYANGA,3.3412844149571024,Baseline Linear Regression
2027,SHINYANGA,3.2635465396534165,Baseline Linear Regression
2026,SIMIYU,3.304873389708739,Baseline Linear Regression
2027,SIMIYU,3.2139732875867244,Baseline Linear Regression
2026,SINGIDA,3.499096600486584,Baseline Linear Regression
2027,SINGIDA,3.4296122566064797,Baseline Linear Regression
2026,SONGWE,3.421695458554895,Baseline Linear Regression
2027,SONGWE,3.352356307162754,Baseline Linear Regression
2026,TABORA,3.3929245509064008,Baseline Linear Regression
2027,TABORA,3.3170682011591675,Baseline Linear Regression
2026,TANGA,3.5707395342346815,Baseline Linear Regression
2027,TANGA,3.5118955762570656,Baseline Linear Regression
